=== MAPPING PROPOSE (à valider / corriger) ===
57866797;[TEST-ENT-FB-001] Entreprise;client
57866798;[TEST-ENT-FB-001] Entreprise cool;client
57866729;[TEST]  FNAC;client
57866721;[TEST] CONFO NEW;client
57866795;[TEST] Fnac;client

57866719;[TEST]BUT;client
57866793;[TEST]Camille 20 fevrier;client
57866731;[TEST]Chanel;client
57866727;[TEST]Confo;client

57866716;[TEST]Figaro;client
57866722;[TEST]LVMH;client
57866726;[TEST]MICHELIN 2;client
57866730;[TEST]Maif;client
57866732;[TEST]Maxi test;client
57866715;[TEST]Michelin;client
57866717;[TEST]OVH;client
57866728;[TEST]SNCF;client
57866794;vfe sans adresse;client
